Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe
48,Shola Inkose,Secret,Good,Brown,Bald,Male,Yes,23,"2002, December",Earth-616,Marvel
49,Rachel Rathaway,Public,Good,Blue,Red,Female,Yes,1,"1989, November",New Earth,DC
50,Zxaxz,Public,Bad,Red,No,Male,Yes,6,"1988, January",Earth-616,Marvel
51,Esteban Ortega,Public,Good,Red,Grey,Male,Yes,11,"2004, August",Earth-616,Marvel
52,Anakalak,Non-dual,Good,Green,No,Male,Yes,1,"1993, September",Earth-616,Marvel
53,Rumaan Harjavti,Public,Bad,Brown,Black,Male,No,7,"1987, June",New Earth,DC
54,Chantinelle,Public,Neutral,Brown,Brown,Female,Yes,9,"1991, July",New Earth,DC
55,Augustus,Secret,Neutral,Brown,Blond,Male,Yes,10,"2005, September",Earth-616,Marvel
56,Lucius P. Gregory,Non-dual,Bad,Black,Bald,Male,Yes,3,"1961, December",Earth-616,Marvel
57,Wire,Secret,Good,Red,White,Male,Yes,1,"1993, May",Earth-616,Marvel
58,Viktor Burgos,Public,Bad,Yellow,Red,Male,No,2,"2010, June",New Earth,DC
59,Elli,Secret,Neutral,Variable,Black,Unknown,Yes,1,"1978, June",Earth-616,Marvel
60,Big Casino,Secret,Bad,White,Red,Male,No,1,"2000, August",Earth-616,Marvel
61,Face II,Secret,Good,Brown,Black,Male,No,5,"2009, January",New Earth,DC
62,Xorak,Secret,Neutral,White,Brown,Male,No,3,"1967, June",Earth-616,Marvel
63,Ewald Olafsson,Public,Bad,Blue,White,Male,No,6,"1993, September",New Earth,DC
64,Rachel Argosy,Public,Neutral,Blue,Blue,Female,Yes,7,"1992, June",Earth-616,Marvel
65,Nima,Secret,Good,Red,No,Male,Yes,2,"2008, December",Earth-616,Marvel
66,Bradley Manning,Secret,Bad,Brown,Brown,Male,No,1,"1944, September",Earth-616,Marvel
67,Tag-A-Long Thomas,Secret,Good,Brown,Blond,Male,Yes,3,"1961, November",New Earth,DC
68,Hugh Dare,Secret,Good,Brown,Black,Male,Yes,3,"1976, July",Earth-616,Marvel
69,William Nasland,Secret,Good,Blue,Black,Male,No,49,"1977, March",Earth-616,Marvel
70,Jeb Turnbull,Public,Neutral,Brown,Black,Male,Yes,3,"1974, August",New Earth,DC
71,Cyrus Gold,Secret,Bad,Black,White,Male,No,174,"1944, October",New Earth,DC
72,Pietro Sapristi,Public,Good,White,Black,Male,Yes,2,"1986, November",Earth-616,Marvel
73,Henry Enwhistle,Public,Good,Red,Brown,Male,Yes,1,"1948, December",Earth-616,Marvel
74,Frederick Tuckman,Public,Good,Black,Black,Male,Yes,13,"2006, May",New Earth,DC
75,Pyreus Kril,Secret,Neutral,White,Yellow,Male,Yes,99,"1974, July",Earth-616,Marvel
76,Nebulo,Public,Bad,No,No,Male,Yes,12,"1968, October",Earth-616,Marvel
77,Quill,Public,Good,Brown,Black,Male,Yes,6,"1988, July",Earth-616,Marvel
78,Salvatore Carbone,Non-dual,Bad,Black,Black,Male,Yes,7,"1992, March",Earth-616,Marvel
79,Ogre,Secret,Bad,Brown,Brown,Male,Yes,1,"1944, December",Earth-616,Marvel
80,Cain Marko,Public,Neutral,Blue,Red,Male,Yes,329,"1965, July",Earth-616,Marvel
81,Madcap,Secret,Neutral,Blue,Brown,Male,Yes,36,"1985, July",Earth-616,Marvel
82,General Bridges,Secret,Good,Blue,Blond,Male,Yes,9,"1968, March",Earth-616,Marvel
83,Henrietta Hunter,Public,Good,Grey,Black,Female,Yes,6,"2003, October",Earth-616,Marvel
84,White Canary,Secret,Bad,Brown,Black,Female,Yes,6,"2010, July",New Earth,DC
85,Eric Reardon,Secret,Bad,Blue,No,Male,No,5,"1987, January",Earth-616,Marvel
86,Dark Opal,Public,Bad,Red,Black,Male,No,27,"1983, April",New Earth,DC
87,Illarion Pavlovich Ramskov,Secret,Good,Brown,Brown,Male,No,10,"1990, November",Earth-616,Marvel
88,Henry Russo,Secret,Good,Brown,Blond,Male,Yes,28,"2009, March",Earth-616,Marvel
89,David Munroe II,Public,Good,Brown,Black,Male,Yes,2,"2006, July",Earth-616,Marvel
90,Sheila Hanson,Public,Bad,Blue,Black,Female,Yes,1,"1985, December",Earth-616,Marvel
91,Thomas Philip Moreau,Public,Neutral,Brown,Bald,Male,No,3,"1999, May",Earth-616,Marvel
92,Unicorn,Secret,Bad,Green,Orange,Male,Yes,3,"2013, January",Earth-616,Marvel
93,Zandor,Non-dual,Bad,Brown,Bald,Male,Yes,3,"1975, January",Earth-616,Marvel
94,Lawrence Trask,Secret,Neutral,Brown,Brown,Male,No,14,"1969, June",Earth-616,Marvel
95,Grace,Secret,Good,Blue,Blue,Female,Yes,5,"1999, September",Earth-616,Marvel
96,Anpu,Public,Neutral,Blue,White,Male,Yes,6,"1976, August",Earth-616,Marvel
97,Titanis,Secret,Good,Blue,Black,Female,Yes,2,"1976, July",Earth-616,Marvel
98,Titan II,Public,Bad,Brown,Black,Male,Yes,8,"1998, December",New Earth,DC
99,Arthur Thornhill,Non-dual,Bad,Blue,Black,Male,Yes,1,"1978, March",Earth-616,Marvel
100,Set,Secret,Neutral,Blue,White,Unknown,Yes,10,"1973, October",Earth-616,Marvel
101,Sean Dolan,Secret,Bad,White,No,Male,Yes,13,"1990, July",Earth-616,Marvel
102,Sharon Ginsberg,Non-dual,Neutral,Blue,Brown,Female,Yes,9,"2002, October",Earth-616,Marvel
103,Anthony Mantegna,Secret,Good,Grey,Black,Male,Yes,24,"1988, May",New Earth,DC
104,Ralph Sorrell,Public,Bad,Blue,Brown,Male,No,1,"1973, November",Earth-616,Marvel
105,Clay Kendall,Public,Good,Black,Blond,Male,No,19,"1984, January",New Earth,DC
106,Provost,Secret,Bad,Blue,Bald,Male,Yes,3,"2006, April",Earth-616,Marvel
107,Demitrius Collins,Public,Good,Brown,Black,Male,Yes,21,"1998, July",Earth-616,Marvel
108,Lady of Ten Suns,Secret,Good,Red,Orange,Female,Yes,5,"2009, September",Earth-616,Marvel
109,Bernhard Baker,Secret,Good,Blue,Blond,Male,Yes,229,"1965, September",New Earth,DC
110,Orm Marius,Secret,Bad,Brown,Brown,Male,Yes,92,"1966, October",New Earth,DC
111,Opistho,Public,Neutral,Black,White,Male,Yes,1,"2009, June",Earth-616,Marvel
112,Snake Lady of Sinyong,Public,Bad,Brown,Black,Female,No,2,"1954, October",Earth-616,Marvel
113,Monkey Joe,Public,Good,Black,Brown,Male,No,7,"1991, December",Earth-616,Marvel
114,Swift,Secret,Bad,Brown,Black,Male,No,2,"1992, September",Earth-616,Marvel
115,Victoria Hand,Non-dual,Neutral,Hazel,Black,Female,No,98,"2009, February",Earth-616,Marvel
116,Michelle Carter,Secret,Good,Blue,Blond,Female,Yes,32,"1986, July",New Earth,DC
117,Raymond Wil,Public,Neutral,Brown,Brown,Male,Yes,1,"1944, September",Earth-616,Marvel
118,Tanak Valt,Public,Good,Blue,Black,Male,Yes,8,"1979, March",Earth-616,Marvel
119,Hathak,Public,Bad,Yellow,Black,Male,No,1,"1997, December",New Earth,DC
120,Bobby Gazzo,Public,Bad,Brown,Brown,Male,No,1,"1999, December",New Earth,DC
121,Pandora Destine,Secret,Good,Blue,Red,Female,Yes,20,"1994, July",Earth-616,Marvel
122,Sinjin Quarrel,Secret,Good,Gold,Black,Male,Yes,5,"1996, December",Earth-616,Marvel
123,Agent of 1000 Faces,Secret,Bad,Yellow,Black,Male,Yes,6,"1968, September",Earth-616,Marvel
124,Colonel Kishi,Public,Bad,Green,Black,Male,No,1,"1944, June",Earth-616,Marvel
125,Dane Whitman,Secret,Bad,Black,Brown,Male,No,1,"1998, May",Earth-616,Marvel
126,Yutaka,Non-dual,Bad,Blue,Black,Male,Yes,3,"2010, April",Earth-616,Marvel
127,Holly Granger,Secret,Good,Blue,Red,Female,No,23,"2005, May",New Earth,DC
128,Weapon Y,Secret,Bad,Blue,Blond,Male,Yes,1,"1993, May",Earth-616,Marvel
129,Prophet of Hate,Secret,Bad,Red,Black,Male,No,1,"1945, January",Earth-616,Marvel
130,Agent Crock,Secret,Neutral,Green,Brown,Male,Yes,1,"1987, October",Earth-616,Marvel
131,Esther Lucas,Non-dual,Neutral,Brown,Black,Female,No,3,"1992, June",Earth-616,Marvel
132,Galin,Public,Neutral,Blue,No,Male,No,4,"2009, November",Earth-616,Marvel
133,Cody Driscoll,Secret,Good,Green,Blond,Male,Yes,52,"1996, October",New Earth,DC
134,Nancy Reagan,Public,Bad,Green,Black,Female,Yes,1,"1984, August",Earth-616,Marvel
135,Merriem Drew,Secret,Good,Purple,Black,Female,No,12,"1978, April",Earth-616,Marvel
136,Nigandan General,Public,Neutral,Yellow,Red,Male,Yes,1,"2005, June",Earth-616,Marvel
137,Amp,Secret,Good,Brown,White,Female,Yes,2,"2008, May",Earth-616,Marvel
138,Eleyn,Secret,Bad,Blue,Blond,Female,Yes,2,"1994, January",Earth-616,Marvel
139,Joseph Hand,Secret,Good,Brown,Brown,Male,Yes,3,"1964, June",New Earth,DC
140,Dyke,Secret,Good,White,Blond,Female,Yes,1,"1990, February",Earth-616,Marvel
141,Mordred,Public,Bad,White,Brown,Male,No,8,"1946, January",New Earth,DC
142,Dmitri Ivankov,Public,Bad,Blue,Blond,Male,Yes,1,"2009, May",Earth-616,Marvel
143,Debra Whitman,Non-dual,Neutral,Green,Blond,Female,Yes,58,"1979, September",Earth-616,Marvel
144,Mike Farrell,Secret,Bad,Blue,Brown,Male,No,22,"1979, September",Earth-616,Marvel
145,Brent Jackson,Public,Bad,Blue,Blond,Male,Yes,32,"2001, June",Earth-616,Marvel
146,Curtis,Public,Good,Green,Bald,Male,Yes,3,"1965, November",Earth-616,Marvel
147,Bailiff,Secret,Neutral,Blue,White,Male,Yes,2,"1994, September",Earth-616,Marvel
148,Bi-Beast,Public,Bad,Black,No,Male,No,8,"1973, November",Earth-616,Marvel
149,Cord Mather,Public,Good,Orange,Black,Male,No,4,"1993, August",Earth-616,Marvel
150,Jonah Hex,Public,Good,Blue,Blond,Male,No,291,"1972, March",New Earth,DC
151,Dwaine Hess,Secret,Bad,Blue,Blond,Male,Yes,3,"1988, September",Earth-616,Marvel
152,Brianna Robbins,Public,Neutral,Brown,Brown,Female,Yes,7,"2010, June",Earth-616,Marvel
153,Thelma Gordon,Public,Neutral,Brown,White,Female,No,5,"1987, November",New Earth,DC
154,Nelson Arling,Secret,Bad,Black,Black,Male,Yes,2,"1999, August",New Earth,DC
155,Herr Mongrel,Secret,Bad,Black,Brown,Male,No,1,"1942, September",Earth-616,Marvel
156,Yalan Gur,Secret,Bad,Blue,Auburn,Male,No,3,"1991, December",New Earth,DC
157,Bertram Larvan,Secret,Bad,Black,Black,Male,No,11,"1966, September",New Earth,DC
158,Senator Doaks,Secret,Bad,Brown,White,Male,No,1,"1944, March",Earth-616,Marvel
159,Metalliferro,Public,Bad,Blue,Brown,Male,Yes,2,"1983, November",New Earth,DC
160,Foreigner,Non-dual,Bad,Brown,Black,Male,Yes,35,"1986, June",Earth-616,Marvel
161,Bella Blaire,Non-dual,Neutral,Blue,Grey,Female,Yes,12,"1981, March",Earth-616,Marvel
162,Robert Chalmers,Non-dual,Bad,Brown,Brown,Male,Yes,9,"1969, June",Earth-616,Marvel
163,Throttle,Secret,Bad,White,Black,Male,Yes,7,"1985, June",New Earth,DC
164,Vixen,Public,Bad,Blue,White,Female,No,1,"1945, November",Earth-616,Marvel
165,Smith,Secret,Bad,Yellow,Black,Male,Yes,2,"2005, December",Earth-616,Marvel
166,Topkick,Non-dual,Bad,Blue,Blond,Male,Yes,1,"1997, October",New Earth,DC
167,Gladys Smallwood,Secret,Good,Blue,Green,Female,Yes,4,"1983, September",Earth-616,Marvel
168,Sinister Soofi,Secret,Bad,Blue,White,Male,Yes,2,"1978, February",Earth-616,Marvel
169,Ava Peloso,Secret,Bad,Black,Brown,Female,Yes,3,"1994, May",Earth-616,Marvel
170,Brushfire,Secret,Bad,Red,Red,Male,Yes,1,"2006, September",Earth-616,Marvel
171,Melanie Killgrave,Secret,Good,Black,Brown,Female,Yes,10,"1986, December",Earth-616,Marvel
172,Maria Hill,Non-dual,Good,Brown,Black,Female,Yes,325,"2005, April",Earth-616,Marvel
173,Alkhema,Non-dual,Bad,Variable,No,Female,Yes,16,"1993, January",Earth-616,Marvel
174,Benjamin Tibbets,Secret,Bad,Blue,Blond,Male,No,6,"2000, August",Earth-616,Marvel
175,Molecule,Secret,Good,Green,Blond,Male,No,4,"2006, December",New Earth,DC
176,Slash,Secret,Bad,Brown,Red,Female,Yes,10,"1984, June",Earth-616,Marvel
177,Thrax,Secret,Neutral,Green,Red,Male,No,1,"1996, March",New Earth,DC
178,Z2,Public,Bad,Blue,Bald,Unknown,No,1,"1969, August",Earth-616,Marvel
179,Mother of Pearl,Secret,Bad,Auburn,Brown,Female,Yes,1,"1996, June",Earth-616,Marvel
180,Alison Kane,Public,Good,Blue,Blue,Female,Yes,4,"1993, June",Earth-616,Marvel
181,Nyko Halfghanaghan,Non-dual,Bad,Blue,Grey,Male,Yes,2,"1993, August",Earth-616,Marvel
182,Jukka,Non-dual,Good,Brown,Black,Male,Yes,5,"1973, December",Earth-616,Marvel
183,Reginald Fortean,Public,Bad,Blue,Black,Male,Yes,17,"2011, May",Earth-616,Marvel
184,Saba Hamud,Public,Good,White,Bald,Male,No,1,"1941, October",Earth-616,Marvel
185,Katherine McClellan,Public,Good,Brown,Blond,Female,Yes,20,"1990, July",Earth-616,Marvel
186,Simon Leech,Public,Bad,Brown,Black,Male,No,1,"1952, July",Earth-616,Marvel
187,Mister Thos,Public,Bad,White,Bald,Male,Yes,1,"1942, December",Earth-616,Marvel
188,Alfonso Lopez,Secret,Bad,Blue,Black,Male,No,4,"1997, May",Earth-616,Marvel
189,Henry Hackenbacker,Public,Good,Brown,Blond,Male,Yes,2,"2011, March",New Earth,DC
190,Jane Foster,Public,Good,Black,White,Female,Yes,2,"1996, November",Earth-616,Marvel
191,Phantasm,Public,Bad,Brown,Brown,Unknown,Yes,1,"1981, September",New Earth,DC
192,Cossack,Secret,Bad,Black,Brown,Male,Yes,2,"1978, January",New Earth,DC
193,Groot,Non-dual,Good,Black,No,Male,Yes,92,"1960, November",Earth-616,Marvel
194,Taj-Ze,Public,Good,Brown,Black,Male,Yes,8,"1969, February",New Earth,DC
195,Surtur,Non-dual,Bad,Yellow,Red,Male,No,79,"1963, October",Earth-616,Marvel
196,Forget-Me-Not,Secret,Bad,Purple,Purple,Female,Yes,4,"2007, August",Earth-616,Marvel
197,Starfire,Public,Good,Blue,Black,Female,Yes,15,"1976, September",New Earth,DC
198,Piotr Phobos,Public,Bad,Blue,Grey,Male,Yes,4,"1981, April",Earth-616,Marvel
199,Billy Kitson,Secret,Bad,Brown,Black,Male,Yes,7,"1994, October",Earth-616,Marvel
200,Joey Milton,Public,Neutral,Blue,Brown,Male,Yes,1,"1948, August",Earth-616,Marvel
201,Edward Elmgren,Secret,Bad,Brown,Brown,Male,No,2,"1942, March",Earth-616,Marvel
202,Nancy Stacy,Public,Good,Blue,Blond,Female,Yes,7,"1971, February",Earth-616,Marvel
203,Zhang Heng,Non-dual,Good,Brown,Black,Male,Yes,2,"2010, June",Earth-616,Marvel
204,Ranakar,Public,Good,Blue,White,Male,Yes,1,"1983, August",New Earth,DC
205,Richard Yurocko,Secret,Bad,White,Blond,Male,No,4,"1992, May",Earth-616,Marvel
206,Kenneth Barnett,Public,Good,Brown,Blond,Male,Yes,14,"1982, March",Earth-616,Marvel
207,Danielle Cage,Non-dual,Good,Green,Black,Female,Yes,84,"2006, March",Earth-616,Marvel
208,Calcium Master,Secret,Bad,Black,Black,Male,No,1,"1946, September",Earth-616,Marvel
209,Mick Bird,Secret,Bad,Black,Black,Male,Yes,1,"1963, July",Earth-616,Marvel
210,Ampzilla,Secret,Bad,Blue,No,Male,Yes,5,"1981, November",Earth-616,Marvel
211,Martha Johansson,Secret,Good,Red,No,Female,Yes,47,"2001, November",Earth-616,Marvel
212,Harleen Quinzel,Public,Bad,Blue,Blond,Female,Yes,153,"1999, October",New Earth,DC
213,Dennap,Public,Good,Blue,White,Female,Yes,1,"2003, November",New Earth,DC
214,Xax,Secret,Good,Black,Grey,Male,No,25,"1961, December",New Earth,DC
215,Voyager,Secret,Bad,Variable,Variable,Male,Yes,6,"1993, September",Earth-616,Marvel
216,Eblis,Secret,Bad,White,No,Male,Yes,1,"1982, September",Earth-616,Marvel
217,Running Wolf,Public,Bad,Brown,Black,Male,Yes,2,"1954, April",Earth-616,Marvel
218,River Verys,Public,Bad,White,Grey,Male,No,8,"1995, December",Earth-616,Marvel
219,Gloria Mu\u00f1oz,Secret,Good,Brown,Black,Female,No,15,"1996, February",Earth-616,Marvel
220,Captain,Secret,Good,Brown,Black,Male,Yes,15,"2006, March",Earth-616,Marvel
221,Raker,Public,Bad,Brown,Red,Male,No,5,"2008, August",Earth-616,Marvel
222,Bizarro Blue Beetle,Secret,Neutral,Blue,Brown,Male,Yes,1,"2011, April",New Earth,DC
223,Kan-Z,Public,Neutral,Blue,Blond,Male,Yes,2,"1987, December",New Earth,DC
224,Tarene,Secret,Bad,Green,Blond,Female,No,1,"2008, December",Earth-616,Marvel
225,Rosalinda Aguilar,Public,Good,Yellow,Brown,Female,Yes,2,"2004, March",Earth-616,Marvel
226,Dusk,Secret,Bad,Green,Bald,Female,Yes,1,"1993, December",Earth-616,Marvel
227,Ion,Secret,Good,Green,No,Unknown,No,45,"2006, April",New Earth,DC
228,Treefern,Public,Good,Green,Green,Female,Yes,1,"1984, January",Earth-616,Marvel
229,Varnae,Secret,Bad,Red,Green,Male,Yes,16,"1982, December",Earth-616,Marvel
230,Von Brukk,Non-dual,Bad,Brown,White,Male,No,1,"1942, July",Earth-616,Marvel
231,T-Cher,Secret,Good,Blue,Black,Male,Yes,3,"1983, August",New Earth,DC
232,Blade Master,Public,Bad,Brown,No,Male,Yes,1,"1981, June",New Earth,DC
233,Bonegrinder,Secret,Bad,Black,No,Male,No,3,"2011, October",Earth-616,Marvel
234,Zefra,Secret,Good,Brown,Black,Female,Yes,9,"1994, June",Earth-616,Marvel
235,Howard Ogden,Public,Good,Black,Brown,Male,No,5,"2012, March",Earth-616,Marvel
236,Horst Lederer,Public,Neutral,Blue,No,Male,Yes,2,"1966, July",Earth-616,Marvel
237,Bobo T. Chimpanzee,Public,Bad,Black,Black,Male,Yes,88,"1952, August",New Earth,DC
238,Asahiri Aoki,Secret,Bad,Brown,Auburn,Female,Yes,4,"2004, May",Earth-616,Marvel
239,Worm,Secret,Bad,Yellow,White,Male,Yes,9,"1989, October",Earth-616,Marvel
240,Allegra,Secret,Good,White,Black,Female,Yes,2,"1994, March",Earth-616,Marvel
241,Hogun,Public,Good,Grey,Black,Male,Yes,371,"1965, August",Earth-616,Marvel
242,Marshall Muldoon,Non-dual,Good,Blue,Blond,Male,Yes,7,"1976, September",Earth-616,Marvel
243,Jack Jordan,Secret,Good,Yellow,Brown,Male,Yes,28,"1961, December",New Earth,DC
244,Solomon Driver,Public,Good,Hazel,Brown,Male,Yes,4,"1973, September",New Earth,DC
245,Davey Drew,Public,Good,Blue,Black,Male,Yes,5,"1941, December",Earth-616,Marvel
246,Althesia,Secret,Good,Blue,Brown,Female,Yes,1,"1997, July",New Earth,DC
247,Quake,Secret,Bad,Brown,Black,Male,Yes,1,"1994, September",New Earth,DC
248,Edward Brecker,Public,Bad,Green,White,Male,Yes,3,"2003, November",Earth-616,Marvel
249,Raama,Public,Good,Brown,White,Male,Yes,2,"1971, March",Earth-616,Marvel
250,Gregory Herd,Secret,Neutral,Blue,Black,Male,Yes,22,"1995, November",Earth-616,Marvel
251,Sarah,Secret,Good,Red,Brown,Female,No,5,"2005, February",Earth-616,Marvel
252,Erica Fortune,Public,Bad,Blue,Blond,Female,Yes,13,"1988, January",Earth-616,Marvel
253,Randy Tate,Secret,Bad,Blue,Blond,Female,Yes,3,"1976, December",Earth-616,Marvel
254,Norman Grimes,Non-dual,Bad,Blue,Orange,Male,Yes,1,"1976, August",New Earth,DC
255,Elmer Gore,Public,Bad,Black,No,Male,Yes,8,"1989, February",Earth-616,Marvel
256,Carl Burgess,Secret,Good,Blue,Brown,Male,Yes,8,"1940, June",Earth-616,Marvel
257,Preacher,Public,Good,Brown,Red,Male,Yes,2,"1995, November",Earth-616,Marvel
258,Moina,Public,Bad,Blue,Blond,Female,No,2,"1994, August",Earth-616,Marvel
259,Jesse,Public,Bad,Red,Black,Male,Yes,5,"2008, August",New Earth,DC
260,Max Pressman,Secret,Bad,Green,White,Male,Yes,8,"1997, August",Earth-616,Marvel
261,Samuel T. Underwood,Public,Good,Brown,Grey,Male,Yes,1,"1980, October",Earth-616,Marvel
262,Johnny Clostro,Non-dual,Bad,Brown,Black,Male,No,1,"1942, September",Earth-616,Marvel
263,Aradnea,Public,Bad,Brown,Black,Female,Yes,7,"2011, August",Earth-616,Marvel
264,J. Vernon Mann,Public,Good,Red,Black,Male,Yes,4,"1999, October",Earth-616,Marvel
265,Shang-Chi,Non-dual,Good,Brown,Black,Male,Yes,296,"1973, December",Earth-616,Marvel
266,Henry Akai,Secret,Bad,Brown,Black,Male,Yes,2,"1992, August",Earth-616,Marvel
267,Infernal Man,Secret,Bad,Brown,No,Male,Yes,3,"2007, September",Earth-616,Marvel
268,Wayne Logan,Secret,Good,Brown,Brown,Male,Yes,4,"1974, June",Earth-616,Marvel
269,Jorge Latham,Public,Good,Brown,Grey,Male,Yes,3,"1983, July",Earth-616,Marvel
270,Darby Dean,Public,Neutral,White,Black,Male,Yes,10,"1988, January",Earth-616,Marvel
271,Hodiak,Public,Good,Blue,Brown,Male,Yes,9,"1980, October",Earth-616,Marvel
272,Victory,Secret,Good,Black,White,Male,Yes,130,"1941, September",New Earth,DC
273,Skarla,Secret,Good,Blue,No,Female,Yes,1,"1996, February",Earth-616,Marvel
274,Four of Spades II,Non-dual,Bad,White,Red,Male,Yes,1,"1992, April",New Earth,DC
275,Remiped,Secret,Bad,Blue,Brown,Male,Yes,5,"2000, October",Earth-616,Marvel
276,Jonathan L. Thunder,Secret,Good,Blue,Blond,Male,Yes,282,"1940, January",New Earth,DC
277,Walt Neilson,Non-dual,Neutral,Brown,Brown,Male,Yes,1,"1946, March",Earth-616,Marvel
278,King of Spades V,Public,Bad,Red,Black,Male,Yes,5,"2005, October",New Earth,DC
279,Kometes,Public,Neutral,Brown,Blond,Male,No,2,"1974, July",Earth-616,Marvel
280,Bzzd,Public,Good,Red,Brown,Male,No,15,"2007, July",New Earth,DC
281,Metzger,Secret,Bad,Blue,Bald,Male,No,3,"2008, December",Earth-616,Marvel
282,Slade Wilson,Secret,Neutral,Blue,White,Male,Yes,336,"1980, December",New Earth,DC
283,Turner,Secret,Bad,White,Brown,Male,No,1,"2008, October",Earth-616,Marvel
284,Nora Jones,Public,Good,Blue,Brown,Female,No,3,"1940, September",Earth-616,Marvel
285,Guinevere,Public,Good,Black,Blond,Female,Yes,15,"1936, February",New Earth,DC
